descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,norm,KMeans,{'n_clusters': 6},[5 4 0 ... 2 4 5],6,786.3730945894897,9.153243549511771
efficientnet-b7,norm,KMeans,{'n_clusters': 4},[0 0 0 ... 2 0 0],4,657.2481988066784,7.653181976938884
efficientnet-b7,norm,KMeans,{'n_clusters': 8},[5 5 6 ... 1 2 5],8,870.8335708142467,8.571731409011406
efficientnet-b7,norm,DBSCAN,"{'eps': 2, 'min_samples': 256}",[0 0 0 ... 0 0 0],2,251.98036521964193,10.569927857280403
osnet,norm,KMeans,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,18166.924809326567,4.6366905955030076
osnet,norm,KMeans,{'n_clusters': 3},[0 0 0 ... 0 0 0],3,12546.592945213355,4.261826049094911
osnet,norm,KMeans,{'n_clusters': 5},[1 1 0 ... 1 1 1],5,9758.290899699208,4.8667486160753475
osnet,norm,DBSCAN,"{'eps': 1, 'min_samples': 4096}",[0 0 0 ... 0 0 0],2,6487.073753746869,7.100531578277127
osnet,norm,DBSCAN,"{'eps': 1, 'min_samples': 1024}",[0 0 0 ... 0 0 0],2,4636.49339774687,7.3549477989125025
osnet,norm,HDBSCAN,{'min_cluster_size': 96},[6 6 6 ... 6 6 6],9,1106.0800323561502,3.4368385141774223
osnet,norm,HDBSCAN,{'min_cluster_size': 64},[13 13 13 ... 13 13 13],16,864.2631853745086,2.6893927865657776
osnet,norm,HDBSCAN,{'min_cluster_size': 24},[1 1 1 ... 1 1 1],5,491.44927170956356,3.8311113556880088
vdc_color,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,18384.385466155483,4.684856877966134
vdc_color,norm,KMeans,{'n_clusters': 3},[2 2 2 ... 2 2 2],3,11343.446239245413,6.155284725101118
vdc_color,norm,KMeans,{'n_clusters': 5},[3 3 3 ... 3 3 3],5,7572.692050396307,6.194432348157544
vdc_color,norm,KMeans,{'n_clusters': 7},[1 1 0 ... 0 1 1],7,5941.53017128594,5.557470841973511
vdc_color,norm,KMeans,{'n_clusters': 16},[12 12  9 ...  5 12 12],16,3692.900221542243,5.010871177882524
vdc_color,norm,DBSCAN,"{'eps': 1, 'min_samples': 4096}",[0 0 0 ... 0 0 0],2,1604.8840726702708,7.600294938396873
vdc_color,norm,DBSCAN,"{'eps': 1, 'min_samples': 1024}",[0 0 0 ... 0 0 0],2,1518.459370153426,7.46617992233017
vdc_color,norm,DBSCAN,"{'eps': 1, 'min_samples': 256}",[0 0 0 ... 0 0 0],2,1389.2003829063444,7.435326452977367
vdc_color,norm,HDBSCAN,{'min_cluster_size': 48},[0 0 0 ... 0 0 0],3,340.5743719562831,5.012088199948293
vdc_color,norm,HDBSCAN,{'min_cluster_size': 32},[0 0 0 ... 0 0 0],3,340.5743719562831,5.012088199948293
vdc_color,norm,HDBSCAN,{'min_cluster_size': 8},[1 1 1 ... 1 1 1],4,323.0442861717012,4.111420992715603
vdc_type,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 0 0 0],2,9598.496067298916,6.437790475561324
vdc_type,norm,KMeans,{'n_clusters': 3},[0 0 0 ... 2 1 1],3,6377.624752855796,6.83316088867426
vdc_type,norm,KMeans,{'n_clusters': 5},[2 0 2 ... 3 1 1],5,4358.761611756173,6.555906130404962
vdc_type,norm,KMeans,{'n_clusters': 7},[2 2 2 ... 1 0 0],7,3857.951287530732,5.91447712404255
vdc_type,norm,KMeans,{'n_clusters': 9},[0 0 5 ... 1 6 1],9,3423.7369964191093,5.438497138627268
vdc_type,norm,DBSCAN,"{'eps': 1, 'min_samples': 2048}",[0 0 0 ... 0 0 0],2,1344.643930350273,9.455506561548825
vdc_type,norm,DBSCAN,"{'eps': 1, 'min_samples': 1024}",[0 0 0 ... 0 0 0],2,1305.8508127204589,9.170703165560582
vdc_type,norm,DBSCAN,"{'eps': 1, 'min_samples': 512}",[0 0 0 ... 0 0 0],2,1259.656282369641,8.909852872506546
vdc_type,norm,HDBSCAN,{'min_cluster_size': 12},[2 2 2 ... 2 2 2],5,362.36460078683626,5.636249340784845
vdc_type,norm,HDBSCAN,{'min_cluster_size': 16},[2 2 2 ... 2 2 2],5,361.0927972550205,5.555438498288167
vdc_type,norm,HDBSCAN,{'min_cluster_size': 24},[1 1 1 ... 1 1 1],3,580.3346917013721,6.61142586540429
