descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,1.4954468845765527,0.8104323781522458
efficientnet-b7,norm,KMeans,{'n_clusters': 3},[2 2 2 ... 2 2 2],3,1.0678413324816771,0.9838718460714473
efficientnet-b7,norm,KMeans,{'n_clusters': 4},[3 2 2 ... 3 2 2],4,51.00628010330421,8.59620778500862
efficientnet-b7,norm,KMeans,{'n_clusters': 5},[4 4 3 ... 3 4 4],5,39.24745603956851,7.135237140591012
efficientnet-b7,norm,KMeans,{'n_clusters': 6},[2 2 2 ... 2 2 2],6,1.3606031559604888,1.214462183290007
efficientnet-b7,norm,KMeans,{'n_clusters': 7},[4 4 5 ... 5 5 4],7,22.75286674391899,4.808524160838132
efficientnet-b7,norm,KMeans,{'n_clusters': 8},[1 4 4 ... 4 6 6],8,40.53260097493043,6.271614233958891
efficientnet-b7,norm,KMeans,{'n_clusters': 9},[2 1 1 ... 5 2 2],9,38.34626087828502,5.3017177637297115
efficientnet-b7,norm,KMeans,{'n_clusters': 10},[4 6 6 ... 5 4 4],10,43.86758850051311,5.800986613233961
efficientnet-b7,norm,KMeans,{'n_clusters': 11},[2 5 5 ... 6 6 6],11,28.578183234453224,4.93597051363499
efficientnet-b7,norm,KMeans,{'n_clusters': 12},[2 5 5 ... 5 2 2],12,17.01217369541121,3.4601496999866597
efficientnet-b7,norm,KMeans,{'n_clusters': 13},[11  1  1 ...  1  4 11],13,25.46847119064534,4.098099507832085
efficientnet-b7,norm,KMeans,{'n_clusters': 14},[10 13  4 ...  5  5 10],14,36.69804948913428,5.567403871954598
efficientnet-b7,norm,KMeans,{'n_clusters': 15},[ 9  6 13 ... 12  4 11],15,44.84811116096011,6.1681075833344625
efficientnet-b7,std,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,1.4906295799002927,0.8117432290283675
efficientnet-b7,std,KMeans,{'n_clusters': 3},[2 2 2 ... 2 2 2],3,1.1404497285102948,1.7934729810400558
efficientnet-b7,std,KMeans,{'n_clusters': 4},[3 2 2 ... 3 3 3],4,41.29180398909343,9.521993906582136
efficientnet-b7,std,KMeans,{'n_clusters': 5},[4 4 4 ... 4 4 4],5,1.0213020761167846,1.4622097741394207
efficientnet-b7,std,KMeans,{'n_clusters': 6},[2 2 4 ... 4 2 2],6,23.302341789231132,6.966000786361929
efficientnet-b7,std,KMeans,{'n_clusters': 7},[3 5 3 ... 5 5 3],7,19.531962877581034,6.145668913246932
