descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,norm,DBSCAN,"{'eps': 2.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],2,188.1911538935816,13.90222536194833
efficientnet-b7,norm,DBSCAN,"{'eps': 2.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],2,188.2422874050031,13.903032594011652
efficientnet-b7,norm,KMeans,{'n_clusters': 3},[1 1 1 ... 1 1 1],3,1.607793235898015,0.7980159923912735
efficientnet-b7,norm,KMeans,{'n_clusters': 4},[1 1 1 ... 1 2 1],4,316.7445556442573,7.763125925893726
efficientnet-b7,norm,KMeans,{'n_clusters': 5},[1 1 1 ... 1 4 1],5,235.34567926800327,6.611313856943551
efficientnet-b7,norm,KMeans,{'n_clusters': 6},[3 3 3 ... 1 2 1],6,323.86744720449934,7.06649357262759
efficientnet-b7,norm,KMeans,{'n_clusters': 7},[4 4 4 ... 4 2 4],7,260.4326144095864,6.279717536147538
efficientnet-b7,norm,KMeans,{'n_clusters': 8},[3 3 3 ... 2 1 3],8,297.85549015381906,6.500999902205686
efficientnet-b7,norm,KMeans,{'n_clusters': 9},[5 5 5 ... 4 7 5],9,260.3213478268049,5.936629564030422
efficientnet-b7,norm,KMeans,{'n_clusters': 10},[0 0 0 ... 0 2 0],10,106.2189067629362,3.6032743892746333
osnet,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],29,192.12769288101214,2.2170089640955353
osnet,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],12,378.1372866451616,2.857407133865505
osnet,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],3,1236.0509228252158,6.1418824218222055
osnet,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 1024.0}",[0 0 0 ... 0 0 0],3,1886.8153064968685,6.26377228572064
osnet,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 4096.0}",[ 0  0  0 ... -1  0  0],2,3054.2181847171623,8.030785623264014
osnet,norm,HDBSCAN,{'min_cluster_size': 16},[10 10 10 ... 10 10 10],21,204.53507906477486,2.2792543670314975
osnet,norm,HDBSCAN,{'min_cluster_size': 24},[0 0 0 ... 0 0 0],3,398.234947599261,4.917328403672492
osnet,norm,HDBSCAN,{'min_cluster_size': 32},[4 4 4 ... 4 4 4],11,223.17391406988236,2.936302231297567
osnet,norm,HDBSCAN,{'min_cluster_size': 48},[0 0 0 ... 0 0 0],4,257.6972775723836,4.1407762418717935
osnet,norm,HDBSCAN,{'min_cluster_size': 64},[9 9 9 ... 9 9 9],11,526.7308646180354,3.280837074052741
osnet,norm,HDBSCAN,{'min_cluster_size': 96},[3 3 3 ... 3 3 3],6,643.774686789797,4.186495606159452
osnet,norm,KMeans,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,8826.277596422378,4.704836485158447
osnet,norm,KMeans,{'n_clusters': 3},[2 2 2 ... 2 2 2],3,6114.853463397696,5.595905977616226
osnet,norm,KMeans,{'n_clusters': 5},[1 1 1 ... 1 1 1],5,4631.724907145614,5.065016673503225
osnet,norm,KMeans,{'n_clusters': 7},[4 4 4 ... 3 4 4],7,3757.8457639477515,4.643763836519909
osnet,norm,KMeans,{'n_clusters': 10},[1 1 1 ... 1 1 1],10,2799.041127783393,3.888945547049466
osnet,norm,KMeans,{'n_clusters': 14},[ 5 11  5 ...  1  5  5],14,2562.0375879451703,3.782584118650945
vdc_color,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],3,353.3102354903147,6.972259259528639
vdc_color,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],2,759.1136745388734,9.452875763873559
vdc_color,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],2,796.7283419840162,9.590158044591922
vdc_color,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 1024.0}",[0 0 0 ... 0 0 0],2,828.2765034667611,9.81479758619225
vdc_color,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 4096.0}",[0 0 0 ... 0 0 0],2,863.1561319984102,10.14809559797493
vdc_color,norm,HDBSCAN,{'min_cluster_size': 8},[1 1 1 ... 1 1 1],4,172.1761961520664,4.276900071238542
vdc_color,norm,HDBSCAN,{'min_cluster_size': 24},[-1 -1 -1 ... -1 -1 -1],3,147.68473159921217,6.066603572035741
vdc_color,norm,HDBSCAN,{'min_cluster_size': 32},[0 0 0 ... 0 0 0],3,246.28347996297754,6.166338333637626
vdc_color,norm,HDBSCAN,{'min_cluster_size': 48},[1 1 1 ... 1 1 1],4,299.7382805963037,6.57166714344831
vdc_color,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,8249.972743675484,4.944694354863126
vdc_color,norm,KMeans,{'n_clusters': 3},[0 0 0 ... 0 0 0],3,5180.119786254118,6.161072629944894
vdc_color,norm,KMeans,{'n_clusters': 5},[0 0 0 ... 0 3 0],5,3571.5943241960413,6.385196580218883
vdc_color,norm,KMeans,{'n_clusters': 7},[5 5 5 ... 1 4 5],7,2873.6949238984116,5.72839322790234
vdc_color,norm,KMeans,{'n_clusters': 10},[2 2 2 ... 2 8 2],10,2187.8439978801116,5.267977831946583
vdc_color,norm,KMeans,{'n_clusters': 12},[ 6  6  6 ... 11  4  6],12,2000.3512880256312,5.377246837155069
vdc_color,norm,KMeans,{'n_clusters': 16},[12 12 12 ... 14  3  1],16,1728.9069969961088,4.963759966833614
vdc_color,norm,KMeans,{'n_clusters': 20},[15 15 15 ...  6  9  1],20,1545.5324958133742,4.706349103213119
vdc_color,norm,KMeans,{'n_clusters': 26},[20 20 20 ...  6  4  0],26,1259.3789677275563,4.418758980581395
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],3,307.19328858548715,7.351312019831377
vdc_type,norm,DBSCAN,"{'eps': 1.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],2,603.2743458905725,10.361602375245022
